0.3267,-0.0465,0.0645,0.9418,13.25,71.75,9.4375,-1.3,-1.85,0.58,0.4285,0.1476,0.4573,0.7652,-0.1875,39.5,-49.5,-0.91,0.57,0.99,0.7375,-0.1533,-0.6411,-0.1469,3,8.8125,9.3125,0.34,0.21,-0.09
0.3246,-0.0671,0.0762,0.9404,16.375,67.688,-4.6875,-1.29,-1.84,0.48,0.4375,0.1319,0.4658,0.7578,7,34.188,-52.813,-0.75,0.53,1.41,0.7404,-0.1546,-0.6378,-0.1454,-2.0625,14.125,9.5,0.2,0.13,-0.01
0.3267,-0.0865,0.0887,0.937,18.438,66.438,-12.25,-1.22,-1.1,1.07,0.444,0.121,0.4725,0.7516,5.375,27.438,-53.688,-0.9,1.27,1.6,0.7426,-0.1561,-0.6351,-0.1447,-3.375,11.813,8.75,0.17,0,0
0.3293,-0.1025,0.0945,0.9339,-0.6875,65.375,-19.063,-1.32,-1.49,1.69,0.4538,0.1056,0.4778,0.7447,-3.6875,23.438,-54.688,-0.92,0.75,1.34,0.7452,-0.1588,-0.6313,-0.1443,-7.0625,11.875,8.8125,0.18,0.05,0.05
0.3376,-0.121,0.1021,0.9279,10.375,54.188,-25.375,-1.38,-1.59,1.46,0.4651,0.0919,0.4816,0.7371,-1.875,12.688,-56.125,-0.96,0.71,1.48,0.7474,-0.1633,-0.6275,-0.1451,-10.375,7.625,7.125,0.27,-0.01,-0.08
0.3479,-0.1394,0.1144,0.92,17.688,49.688,-30.625,-0.98,-0.94,1.37,0.4811,0.0787,0.4857,0.7255,5.3125,6.1875,-55.813,-0.75,1.06,1.15,0.7488,-0.1674,-0.6242,-0.147,-14.688,9,5.0625,0.2,0.01,-0.08
0.3578,-0.1545,0.1215,0.9128,12.938,46.125,-39.5,-1.47,-1.2,1.27,0.494,0.07,0.4891,0.7154,6.1875,3.8125,-54.563,-0.89,0.91,0.75,0.7499,-0.172,-0.6208,-0.1501,-18.563,7.375,2.8125,0.36,-0.01,-0.14
0.3673,-0.1625,0.1287,0.9067,29.875,34.563,-43.875,-0.9,-0.89,1.3,0.5041,0.0653,0.4922,0.7067,19.125,-4.75,-55,-0.73,0.37,0.93,0.7502,-0.1775,-0.618,-0.1545,-21.563,4.8125,1.875,0.5,0.12,-0.09
0.3826,-0.1683,0.1414,0.8974,39.188,25.375,-49.375,-0.88,-0.32,1.65,0.5171,0.064,0.499,0.6925,33.5,-9.9375,-49.438,-0.65,0.73,0.6,0.75,-0.1823,-0.6157,-0.1586,-27.688,9.875,0.875,0.09,-0.04,0.02
0.4006,-0.17,0.155,0.8869,57.188,12.75,-52.25,-0.76,-0.53,1.7,0.5297,0.0667,0.5076,0.6763,50.313,-16.125,-47,-0.44,1.09,0.8,0.7494,-0.191,-0.6117,-0.1666,-32.125,7.375,0.4375,0.26,-0.07,0.08
0.4255,-0.1623,0.1757,0.8727,61.063,-6.125,-55.688,-0.37,0.31,2.08,0.5441,0.0762,0.519,0.6548,50.75,-26.5,-36,-0.27,2.18,1.41,0.748,-0.1992,-0.6088,-0.174,-36.25,3.0625,-0.625,0.05,-0.15,0.1
0.444,-0.1556,0.1859,0.8626,41.75,-12.875,-54.125,0.05,0.86,2.44,0.5546,0.0853,0.5242,0.6407,43.563,-29.563,-29.5,0.06,2.87,1.69,0.7457,-0.2086,-0.606,-0.1819,-37.625,2.0625,-0.3125,0.3,-0.01,-0.07
